SessionID,Name,Description,Severity,Line,Column,ParentFile,TopLevelCategory,Code
e06e6771-b9d0-4bc4-8c92-67e1e7fe7baa,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 4 OF THE SOURCE CODE. **,Critical,4,0,CLI_T12/Source_code.sql,No category specified,MSCEWI1001
e06e6771-b9d0-4bc4-8c92-67e1e7fe7baa,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 28 OF THE SOURCE CODE. **,Critical,28,0,CLI_T12/Source_code.sql,No category specified,MSCEWI1001
e06e6771-b9d0-4bc4-8c92-67e1e7fe7baa,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 38 OF THE SOURCE CODE. **,Critical,38,0,CLI_T12/Source_code.sql,No category specified,MSCEWI1001
e06e6771-b9d0-4bc4-8c92-67e1e7fe7baa,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 39 OF THE SOURCE CODE. **,Critical,39,0,CLI_T12/Source_code.sql,No category specified,MSCEWI1001
e06e6771-b9d0-4bc4-8c92-67e1e7fe7baa,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 45 OF THE SOURCE CODE. **,Critical,45,0,CLI_T12/Source_code.sql,No category specified,MSCEWI1001
e06e6771-b9d0-4bc4-8c92-67e1e7fe7baa,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 60 OF THE SOURCE CODE. **,Critical,60,0,CLI_T12/Source_code.sql,No category specified,MSCEWI1001
e06e6771-b9d0-4bc4-8c92-67e1e7fe7baa,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 61 OF THE SOURCE CODE. **,Critical,61,0,CLI_T12/Source_code.sql,No category specified,MSCEWI1001
