SessionID,Name,Description,Severity,Line,Column,ParentFile,TopLevelCategory,Code
d7b22ac3-2e1d-474e-8114-d64f26d3a4b0,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 4 OF THE SOURCE CODE. **,Critical,4,0,CLI_T12/Source_code.sql,No category specified,MSCEWI1001
d7b22ac3-2e1d-474e-8114-d64f26d3a4b0,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 28 OF THE SOURCE CODE. **,Critical,28,0,CLI_T12/Source_code.sql,No category specified,MSCEWI1001
d7b22ac3-2e1d-474e-8114-d64f26d3a4b0,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 38 OF THE SOURCE CODE. **,Critical,38,0,CLI_T12/Source_code.sql,No category specified,MSCEWI1001
d7b22ac3-2e1d-474e-8114-d64f26d3a4b0,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 39 OF THE SOURCE CODE. **,Critical,39,0,CLI_T12/Source_code.sql,No category specified,MSCEWI1001
d7b22ac3-2e1d-474e-8114-d64f26d3a4b0,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 45 OF THE SOURCE CODE. **,Critical,45,0,CLI_T12/Source_code.sql,No category specified,MSCEWI1001
d7b22ac3-2e1d-474e-8114-d64f26d3a4b0,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 60 OF THE SOURCE CODE. **,Critical,60,0,CLI_T12/Source_code.sql,No category specified,MSCEWI1001
d7b22ac3-2e1d-474e-8114-d64f26d3a4b0,UnrecognizedToken,** MSC-ERROR - MSCEWI1001 - UNRECOGNIZED TOKEN ON LINE 61 OF THE SOURCE CODE. **,Critical,61,0,CLI_T12/Source_code.sql,No category specified,MSCEWI1001
